UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
155681,"R",47081024,"R",188556370,"R",2285211,"R",190841581,"R",237922605,"R",1387796,"R",3802448,"R",14858288,"R",18660736,"R",46296624,"R",17370585,"R",63667209,"R",82327945,"R",2494789,"R",137914030,"R",6178978,"R",0,"R",10394659,"R",154487667,"R",14465198,"R",0,"R",257948227,"R",30481681,"R",3644344,"R",306539450,"R",117983080,"R",0,"R",0,"R",111352742,"R",104687416,"R",6665326,"R",147822341,"R",0,"R",154487667,"R",34553763,"R",2553005,"R",865833,"R",1226312,"R",1226312,"R",0,"R",14672897,"R",0,"R",2652435,"R",0,"R",814385,"R",57338630,"R",0,"R",35437202,"R",0,"R",8477515,"R",907688,"R",0,"R",3483761,"R",560479,"R",2191232,"R",51057877,"R",108396507,"R",1264454,"R",1691781,"R",0,"R",0,"R",2956235,"R",111352742,"R",41611787,"R",25512627,"R",3090474,"R",1614408,"R",2798154,"R",910984,"R",9544523,"R",4561774,"R",10184276,"R",5433813,"R",9761084,"R",4675072,"R",7297072,"R",11394438,"R",3062176,"R",0,"R",0,"R",0,"R",0,"R",9005608,"R",4477026,"R",104687416,"R",50247880,"R",15666511,"R",9384413,"R",7616272,"R",2288791,"R",19483549,1 ,"R",831108,"R",14392256,"R",2454124,"R",1288778,"R",65179,"R",776230,"R",40665,"R",99018,"R",8288570,"R",989913,"R",1073735,"R",0,"R",0,"R",3699594,"R",14051812,"R",6754740,"R",0,"R",6754740,"R",7297072,1 ,"R",83211480,"R",87614887
155715,"R",24661915,"R",9919535,"R",2187283,"R",12106818,"R",36768733,"R",29111,"R",548167,"R",569615,"R",1117782,"R",5404770,"R",310099,"R",5714869,"R",6832651,"R",68078,"R",6021804,"R",5823778,"R",0,"R",18051533,"R",29897115,"R",458000,"R",0,"R",18109036,"R",8282590,"R",886480,"R",27736106,"R",17816571,"R",0,"R",0,"R",18446484,"R",16385647,"R",2060837,"R",27817344,"R",18934,"R",29897115,"R",1350754,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2212049,"A",,"R",60432,"A",,"R",216709,"R",3839944,"R",0,"R",2754547,"R",6867692,"R",1676507,"R",153917,"R",0,"R",208200,"R",47207,"R",2898470,"R",14606540,"R",18446484,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18446484,"R",4550316,"R",2614344,"R",0,"R",0,"R",0,"R",0,"R",569105,"R",197897,"R",2262526,"R",1258357,"R",2635147,"R",1163371,"R",2237540,"R",2533978,"R",140749,"A",,"A",,"A",,"A",,"R",1597035,"R",535593,"R",16385647,"R",5910311,"R",1066833,"R",1020402,"R",826378,"R",205877,"R",7355846,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1532108,"R",18592,"R",16000,"R",0,"R",0,"R",947981,"R",2514681,"R",222497,"R",54644,"R",277141,"R",2237540,1 ,"R",4078021,"R",4852433
155830,"R",2851671,"R",2096417,"R",0,"R",2096417,"R",4948088,"R",0,"R",0,"R",254434,"R",254434,"R",0,"R",0,"R",0,"R",254434,"R",0,"R",2096417,"R",0,"R",0,"R",2597237,"R",4693654,"R",0,"R",0,"R",3158023,"R",2721168,"R",0,"R",5879191,"R",3782774,"R",0,"R",0,"R",5486147,"R",5050486,"R",435661,"R",4257993,"R",0,"R",4693654,"R",1165032,"R",0,"R",0,"R",0,"R",0,"R",0,"R",128547,"A",,"R",0,"A",,"R",182985,"R",1476564,"R",0,"R",2941399,"R",0,"R",458765,"R",107908,"R",0,"R",84197,"R",26917,"R",268839,"R",3888025,"R",5364589,"R",121558,"R",0,"R",0,"R",0,"R",121558,"R",5486147,"R",2722837,"R",1662575,"R",0,"R",0,"R",0,"R",0,"R",207144,"R",119916,"R",364197,"R",224682,"R",773975,"R",522151,"R",315588,"R",139827,"R",0,"A",,"A",,"A",,"A",,"R",526918,"R",0,"R",5050486,"R",2529324,"R",393149,"R",408349,"R",397650,"R",0,"R",1322014,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",458765,"R",0,"R",6000,"R",0,"R",176985,"R",0,"R",641750,"R",326162,"R",0,"R",326162,"R",315588,1 ,"R",348202,"R",287687
155858,"R",23327353,"R",19357036,"R",1583413,"R",20940449,"R",44267802,"R",496258,"R",465000,"R",1714740,"R",2179740,"R",5195000,"R",2201739,"R",7396739,"R",9576479,"R",4983685,"R",13789804,"R",6881743,"R",0,"R",9532349,"R",30203896,"R",1311712,"R",0,"R",44492822,"R",11847311,"R",4133695,"R",61785540,"R",42536304,"R",0,"R",0,"R",26386858,"R",22143229,"R",4243629,"R",25960267,"R",0,"R",30203896,"R",2256497,"R",935886,"R",454188,"R",0,"R",0,"R",0,"R",1193969,"A",,"R",0,"A",,"R",310945,"R",5151485,"R",0,"R",5039009,"R",9768867,"R",1834902,"R",0,"R",0,"R",11285,"R",250362,"R",0,"R",16904425,"R",22055910,"R",0,"R",4330948,"R",0,"R",0,"R",4330948,"R",26386858,"R",8144502,"R",4280239,"R",0,"R",0,"R",0,"R",0,"R",247205,"R",124745,"R",3282855,"R",1728018,"R",4549674,"R",1519869,"R",786694,"R",1745628,"R",242614,"A",,"A",,"A",,"A",,"R",3386671,"R",938859,"R",22143229,"R",8834344,"R",2427739,"R",3386671,"R",2617734,"R",242190,"R",4634551,1 ,"R",1177446,"R",121402,"R",43300,"R",92431,"R",263387,"R",1997189,"R",605744,"R",311059,"R",1834902,"R",44100,"R",5963,"R",0,"R",0,"R",786694,"R",2671659,"R",1198077,"R",686888,"R",1884965,"R",786694,1 ,"R",5387534,"R",5951897
156082,"R",55647534,"R",115977232,"R",39538890,"R",155516122,"R",211163656,"R",309322,"R",3337185,"R",9718798,"R",13055983,"R",48236477,"R",2230708,"R",50467185,"R",63523168,"R",0,"R",73885512,"R",11859910,"R",33070723,"R",29133665,"R",147949810,"R",1444104,"R",7467418,"R",190579317,"R",79087568,"R",2872490,"R",281450897,"R",165473665,"R",0,"R",0,"R",107104260,"R",104537636,"R",2566624,"R",178770138,"R",-33386952,"R",147949810,"R",36222446,"R",42644,"R",0,"R",0,"R",0,"R",0,"R",6882801,"R",0,"R",2159975,"R",0,"R",489933,"R",45797799,"R",0,"R",12267857,"R",26088655,"R",11876818,"R",29487,"R",0,"R",10407553,"R",-48776,"R",0,"R",60621594,"R",106419393,"R",0,"R",381930,"R",302937,"R",0,"R",684867,"R",107104260,"R",45404056,"R",26396885,"R",179114,"R",49074,"R",4153927,"R",1527815,"R",17024513,"R",7766350,"R",14860380,"R",7042959,"R",9352382,"R",3853992,"R",1710544,"R",7345085,"R",1097289,"R",0,"R",0,"R",0,"R",0,"R",4507635,"R",3134996,"R",104537636,"R",50869360,"R",15921835,"R",8160813,"R",9652437,"R",1745127,"R",18188064,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7700430,"R",527352,"R",29733,"R",0,"R",5183647,"R",10046813,"R",23487975,"R",21604089,"R",173342,"R",21777431,"R",1710544,1 ,"R",181812960,"R",178188989
156107,"R",23275752,"R",3674817,"R",0,"R",3674817,"R",26950569,"R",0,"R",0,"R",3946930,"R",3946930,"R",0,"R",142613,"R",142613,"R",4089543,"R",0,"R",3674817,"R",970290,"R",900000,"R",17315919,"R",22861026,"R",0,"R",0,"R",1079463,"R",10419364,"R",58924,"R",11557751,"R",7882934,"R",0,"R",0,"R",36841729,"R",32097179,"R",4744550,"R",18116476,"R",0,"R",22861026,"R",12399987,"R",1652788,"R",5226936,"R",628743,"R",0,"R",628743,"R",0,"A",,"R",0,"A",,"R",342185,"R",20250639,"R",0,"R",6422495,"R",0,"R",6576907,"R",1856592,"R",800000,"R",386696,"R",321325,"R",2039,"R",16366054,"R",36616693,"R",225036,"R",0,"R",0,"R",0,"R",225036,"R",36841729,"R",15401041,"R",7256904,"R",0,"R",0,"R",0,"R",0,"R",5298755,"R",2778560,"R",6687550,"R",3011978,"R",4269252,"R",2479185,"R",89767,"R",350814,"R",74654,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",32097179,"R",15601281,"R",4439348,"R",2652850,"R",932942,"R",0,"R",8470758,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6429114,"R",107636,"R",17969,"R",0,"R",71798,"R",763817,"R",7390334,"R",7300567,"R",0,"R",7300567,"R",89767,1 ,"R",1182351,"R",1281488
156125,"R",101962838,"R",276532781,"R",2975620,"R",279508401,"R",381471239,"R",4573553,"R",5479235,"R",28039258,"R",33518493,"R",79566292,"R",31090580,"R",110656872,"R",144175365,"R",8077027,"R",191487254,"R",12564378,"Z",0,"R",29740768,"R",233792400,"R",18670997,"R",24697502,"R",328575466,"R",104557841,"R",15087212,"R",491589018,"R",226831929,"R",0,"R",11775691,"R",357529949,"R",350810617,"R",6719332,"R",227073068,"R",0,"R",233792400,"R",100621930,"R",47252469,"R",5221849,"R",1064177,"R",1064177,"R",0,"R",15363907,"R",0,"R",51322522,"R",0,"R",9881513,"R",230728367,"R",0,"R",79069679,"R",0,"R",18065675,"R",0,"R",0,"R",19826034,"R",1197091,"R",667658,"R",118826137,"R",349554504,"R",4611600,"R",820095,"R",0,"R",2543750,"R",7975445,"R",357529949,"R",93982704,"R",58096712,"R",88696689,"R",30801850,"R",31165250,"R",10397632,"R",36252536,"R",17110633,"R",39636699,"R",14354609,"R",28463595,"R",11636429,"R",15295605,"R",17317539,"R",1439989,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",350810617,"R",143837854,"R",36313489,"R",23610761,"R",17689259,"R",3599000,"R",125760254,1 ,"R",83878,"R",22240346,"R",8012428,"R",4065926,"R",128573,"R",1709829,"R",64599,"R",507627,"R",17981757,"R",501465,"R",1607052,"R",0,"R",119068,"R",21304313,"R",41513655,"R",26218050,"R",0,"R",26218050,"R",15295605,1 ,"R",264339000,"R",276142000
156231,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3159609,"R",2138633,"R",153404,"R",0,"R",0,"R",0,"R",0,"A",,"R",163461,"A",,"R",424429,"R",6039536,"R",0,"R",9187000,"R",0,"R",6721726,"R",1938681,"R",0,"R",109779,"R",56760,"R",333430,"R",18347376,"R",24386912,"R",0,"R",0,"R",0,"R",4974,"R",4974,"R",24391886,"R",7798513,"R",4757625,"R",0,"R",0,"R",5635,"R",48,"R",1819643,"R",791578,"R",3078242,"R",2009301,"R",2503339,"R",1404473,"R",2718442,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",2355771,"R",0,"R",20279585,"R",8963025,"R",1585184,"R",2467814,"R",2531122,"R",287073,"R",4445367,1 ,"R",-1195700,"R",8697111,"R",5074229,"R",1145460,"R",-393390,"R",731560,"R",2024755,"R",219847,"R",1191968,"R",96863,"R",1326838,"R",0,"R",102773,"R",6605270,"R",9323712,"R",6605270,"Z",0,"R",6605270,"R",2718442,2 ,"A",,"A",
156338,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6117090,"R",1246521,"R",465433,"R",0,"R",0,"R",0,"R",0,"A",,"R",116490,"A",,"R",23633,"R",7969167,"R",0,"R",8899197,"R",0,"R",7480130,"R",3297580,"R",0,"R",179079,"R",17111,"R",302717,"R",20175814,"R",28144981,"R",0,"R",0,"R",0,"R",0,"R",0,"R",28144981,"R",9808828,"R",6524282,"R",0,"R",0,"R",4299,"R",0,"R",705339,"R",388667,"R",2098507,"R",1386456,"R",4171148,"R",2500515,"R",4199319,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",2095544,"R",0,"R",23082984,"R",10799920,"R",1714929,"R",2277220,"R",1942601,"R",459649,"R",5888665,1 ,"R",-2699089,"R",19709481,"R",13577738,"R",2643866,"R",23626,"R",4594625,"R",644982,"R",511688,"R",1814475,"R",115113,"R",2134834,"R",0,"R",134897,"R",8153451,"R",12352770,"R",8153451,"R",0,"R",8153451,"R",4199319,2 ,"A",,"A",
156392,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",17898018,"R",4672192,"R",777860,"R",19691,"R",0,"R",19691,"R",0,"A",,"R",866279,"A",,"R",217989,"R",24452029,"R",0,"R",18623823,"R",0,"R",16420901,"R",6482515,"R",0,"R",429743,"R",42122,"R",449566,"R",42448670,"R",66900699,"R",1563369,"R",0,"R",0,"R",14193,"R",1577562,"R",68478261,"R",23703883,"R",16743665,"R",0,"R",0,"R",25439,"R",0,"R",1885828,"R",958096,"R",8512111,"R",4893088,"R",8217551,"R",4264465,"R",8686369,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",3736883,"R",0,"R",54768064,"R",26859314,"R",6373020,"R",4331887,"R",3549632,"R",590049,"R",13064162,1 ,"R",-2477086,"R",19461908,"R",12421474,"R",3138532,"R",-757987,"R",2078620,"R",3953542,"R",471495,"R",3700665,"R",280496,"R",4446638,"R",0,"R",258569,"R",16451162,"R",25137530,"R",16451161,"R",0,"R",16451161,"R",8686369,2 ,"A",,"A",
156620,"R",75604378,"R",453602700,"R",123987198,"R",577589898,"R",653194276,"R",60342642,"R",9055494,"R",34908903,"R",43964397,"R",132829565,"R",384162337,"R",516991902,"R",560956299,"R",261925618,"R",264326511,"R",61785095,"R",12332772,"R",-447789377,"R",-109344999,"R",70452753,"R",0,"R",599291768,"R",81171161,"R",49374186,"R",800289868,"R",287845149,"R",0,"R",745535,"R",291590631,"R",248327917,"R",43262714,"R",-152607713,"R",0,"R",-109344999,"R",88373243,"R",25355714,"R",15507689,"R",5554237,"R",0,"R",5554237,"R",14740362,"R",0,"R",6595893,"R",0,"R",16243839,"R",172370977,"R",0,"R",64189000,"R",0,"R",24386231,"R",18967910,"R",0,"R",0,"R",3193708,"R",7399251,"R",118136100,"R",290507077,"R",1083554,"R",0,"R",0,"R",0,"R",1083554,"R",291590631,"R",102672549,"R",57608876,"R",972723,"R",346144,"R",49550048,"R",16843357,"R",29467970,"R",14967196,"R",22265818,"R",9356377,"R",26792363,"R",13363840,"R",15481988,"R",24844401,"R",4753468,"Z",0,"Z",0,"Z",0,"Z",0,"R",-23719943,"R",0,"R",248327917,"R",117239258,"R",40500947,"R",23429098,"R",22918906,"R",4863988,"R",39375720,1 ,"R",-32381373,"R",297710091,"R",175918887,"R",52707203,"R",500481,"R",59910311,"R",12249833,"R",7374075,"R",24386231,"R",1460709,"R",20306295,"R",0,"R",1322952,"R",42706159,"R",90182346,"R",64220071,"R",10480287,"R",74700358,"R",15481988,1 ,"R",68771860,"R",68717543
156648,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7976040,"R",2468786,"R",122802,"R",0,"R",0,"R",0,"R",0,"A",,"R",142524,"A",,"R",182032,"R",10892184,"R",0,"R",11227000,"R",0,"R",9001695,"R",3726275,"R",0,"R",575312,"R",40815,"R",354008,"R",24925105,"R",35817289,"R",0,"R",0,"R",0,"R",124,"R",124,"R",35817413,"R",14466269,"R",9079277,"R",0,"R",0,"R",61387,"R",25188,"R",2041564,"R",1181309,"R",3740893,"R",2239995,"R",3572559,"R",1535998,"R",4836939,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",1713658,"R",0,"R",30433269,"R",14061767,"R",3600166,"R",3037817,"R",2318328,"R",27762,"R",7387429,1 ,"R",-1094436,"R",9468071,"R",8094271,"R",1803215,"R",-583041,"R",817428,"R",2822343,"R",230591,"R",1937424,"R",213974,"R",2364774,"R",0,"R",320767,"R",10739206,"R",15576145,"R",10739206,"R",0,"R",10739206,"R",4836939,2 ,"A",,"A",
156790,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3854872,"R",4254472,"R",611110,"R",0,"R",0,"R",0,"R",0,"A",,"R",114122,"A",,"R",261483,"R",9096059,"R",0,"R",11941281,"R",0,"R",5806130,"R",1894247,"R",0,"R",261948,"R",307132,"R",176899,"R",20387637,"R",29483696,"R",1449225,"R",0,"R",0,"R",71910,"R",1521135,"R",31004831,"R",10304602,"R",5795193,"R",0,"R",0,"R",133216,"R",92580,"R",2266706,"R",1315517,"R",3770301,"R",2482751,"R",3421957,"R",1806332,"R",3003002,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",963932,"R",0,"R",23863716,"R",11492373,"R",1922763,"R",3145345,"R",1822674,"R",51533,"R",5429028,1 ,"R",-1818867,"R",10314982,"R",4285115,"R",1494299,"R",-638539,"R",270070,"R",3245881,"R",302638,"R",1004680,"R",89404,"R",1370984,"R",0,"R",537934,"R",6427137,"R",9430139,"R",6427137,"R",0,"R",6427137,"R",3003002,2 ,"A",,"A",
156851,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1491419,"R",440947,"R",51680,"R",0,"R",0,"R",0,"R",0,"A",,"R",173578,"A",,"R",6759,"R",2164383,"R",0,"R",4711300,"R",0,"R",2555816,"R",937768,"R",0,"R",186421,"R",183418,"R",160855,"R",8735578,"R",10899961,"R",9166,"R",0,"R",0,"R",21280,"R",30446,"R",10930407,"R",4213994,"R",2715054,"R",0,"R",0,"R",444242,"R",227672,"R",768997,"R",479961,"R",915396,"R",575710,"R",1315060,"R",781223,"R",1087151,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",786476,"R",0,"R",9531316,"R",4779620,"R",924758,"R",1197679,"R",1022962,"R",109049,"R",1497248,1 ,"R",-518007,"R",2750053,"R",1739721,"R",441246,"R",-417154,"R",-441602,"R",1939967,"R",88835,"R",337161,"R",54835,"R",572950,"R",0,"R",122205,"R",3025282,"R",4112433,"R",3025282,"R",0,"R",3025282,"R",1087151,2 ,"A",,"A",
156860,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",4635541,"R",1663321,"R",283971,"R",0,"R",0,"R",0,"R",0,"A",,"R",84941,"A",,"R",87362,"R",6755136,"R",0,"R",6453600,"R",0,"R",6133549,"R",1333613,"R",0,"R",564286,"R",72356,"R",175949,"R",14733353,"R",21488489,"R",0,"R",0,"R",0,"R",60,"R",60,"R",21488549,"R",7173509,"R",4537146,"R",0,"R",0,"R",11518,"R",0,"R",1007908,"R",496795,"R",2522025,"R",1459275,"R",2239650,"R",1204627,"R",3967816,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",243194,"R",0,"R",17165620,"R",7697843,"R",1953011,"R",1725561,"R",755887,"R",2581,"R",5030737,1 ,"R",-514112,"R",2272365,"R",1551437,"R",515278,"R",-408312,"R",-462820,"R",1900416,"R",87030,"R",2681111,"R",166181,"R",866334,"R",0,"R",254190,"R",4548582,"R",8516398,"R",4548582,"R",0,"R",4548582,"R",3967816,2 ,"A",,"A",
156921,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15152819,"R",3908093,"R",520406,"R",0,"R",0,"R",0,"R",0,"A",,"R",491113,"A",,"R",227603,"R",20300034,"R",0,"R",20444700,"R",0,"R",19128712,"R",6650946,"R",0,"R",3874731,"R",151687,"R",526726,"R",50777502,"R",71077536,"R",1039231,"R",0,"R",0,"R",32038,"R",1071269,"R",72148805,"R",21345153,"R",14293742,"R",0,"R",0,"R",38690,"R",31216,"R",5144755,"R",2726447,"R",7003029,"R",3970447,"R",7271935,"R",3803742,"R",9669289,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",2713669,"R",0,"R",53186520,"R",24825594,"R",5170023,"R",5042015,"R",3335888,"R",299054,"R",14513946,1 ,"R",-2808143,"R",26587106,"R",9617335,"R",3334016,"R",-1250675,"R",230821,"R",6158324,"R",486231,"R",4352166,"R",348799,"R",4739960,"R",0,"R",228365,"R",19658511,"R",29327801,"R",19658512,"R",0,"R",19658512,"R",9669289,2 ,"A",,"A",
157058,"R",8633556,"R",75221397,"R",18602666,"R",93824063,"R",102457619,"R",15179797,"R",818185,"R",11528291,"R",12346476,"R",2605121,"R",66075631,"R",68680752,"R",81027228,"R",40521833,"R",69736441,"R",4800330,"R",3562238,"R",-82010654,"R",-3911645,"R",6275031,"R",0,"R",155846869,"R",42399741,"R",10681986,"R",215203627,"R",139982230,"R",0,"R",0,"R",65730478,"R",70719645,"R",-4989167,"R",1077522,"R",0,"R",-3911645,"R",9710046,"R",18007131,"R",1411907,"R",196014,"R",196014,"R",0,"R",4426675,"R",0,"R",0,"R",0,"R",1221466,"R",34973239,"R",0,"R",25749000,"R",0,"R",4261886,"Z",0,"R",0,"R",0,"R",595076,"R",0,"R",30605962,"R",65579201,"R",151277,"R",0,"R",0,"R",0,"R",151277,"R",65730478,"R",11996648,"R",8404026,"R",9069501,"R",4700388,"R",11459680,"R",5435189,"R",829124,"R",693327,"R",8486407,"R",4710604,"R",16704782,"R",8397376,"R",5873079,"R",5165589,"R",588510,"R",0,"R",0,"R",0,"R",0,"R",1134835,"R",0,"R",70719645,"R",32929420,"R",10557279,"R",6007116,"R",3876677,"R",276798,"R",17072355,1 ,"R",-8938921,"R",54555554,"R",39161111,"R",13661275,"R",753757,"R",10962235,"R",1360722,"R",1518522,"R",4261886,"R",272028,"R",1006907,"R",5700,"R",159589,"R",6559799,"R",12265909,"R",6233241,"R",159589,"R",6392830,"R",5873079,1 ,"R",17734544,"R",18521033
157085,"R",1037832739,"R",3443772154,"R",2421613910,"R",5865386064,"R",6903218803,"R",38316451,"R",50337849,"R",440213970,"R",490551819,"R",1103137359,"R",627549067,"R",1730686426,"R",2221238245,"R",541743582,"R",1909623773,"R",521014456,"R",641255432,"R",1106659766,"R",4178553427,"R",321458134,"R",131760192,"R",3969104730,"R",1032329235,"R",127632556,"R",5582284847,"R",2150201798,"R",11689105,"R",0,"R",3672145540,"R",3459102257,"R",213043283,"R",3965510144,"R",0,"R",4178553427,"R",343292727,"R",286722736,"R",87460516,"R",38430556,"R",0,"R",38430556,"R",203118517,"R",1750927363,"R",306971916,"R",0,"R",21137914,"R",3038062245,"R",0,"R",258494800,"R",26688887,"R",27027687,"R",31259200,"R",0,"R",62598007,"R",108292964,"R",16674192,"R",531035737,"R",3569097982,"R",0,"R",71570061,"R",13605954,"R",17871543,"R",103047558,"R",3672145540,"R",342994721,"R",224648685,"R",336158166,"R",165239569,"R",671660131,"R",412235547,"R",125481934,"R",59868529,"R",49207176,"R",22688492,"R",91949244,"R",58961108,"R",37362301,"R",247304233,"R",113323711,"R",1551346802,"R",533445017,"R",0,"R",0,"R",5637549,"R",3250667,"R",3459102257,"R",1593661325,"R",422483039,"R",84980880,"R",188144691,"R",44372510,"R",1125459812,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",24136406,"R",2100016,"R",29417386,"R",0,"R",11526107,"R",147772090,"R",214952005,"R",176524210,"R",1065494,"R",177589704,"R",37362301,1 ,"R",1334530283,"R",1385507098
