UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03   
485412,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",277835,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",277835,"Z",0,"Z",0,"Z",0,"R",590593,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15235,"A",,"A",,"R",0,"R",605828,"R",130824,"R",130824,"Z",0,"Z",0,"Z",0,"Z",0,"R",13000,"R",13000,"R",13000,"R",13000,"R",187093,"Z",0,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",343917,"R",156824,"Z",0,"R",100103,"R",4136,"Z",0,"R",82854,"A",,"A",,-2
485467,"R",57805634,"R",0,"R",10935382,"R",0,"R",40274630,"R",0,"R",17531004,"R",57805634,"R",0,"R",0,"R",52123344,"R",0,"R",0,"R",52123344,"R",41187962,"R",10935382,"C",112295052,"C",122234430,"R",0,"C",-9939378,"R",0,"C",-92537001,"R",120007383,"R",17531004,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",262632,"R",170146,"R",0,"R",0,"R",5368743,"R",3954145,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",5631375,"R",4124291,"R",572645,"R",19215,"R",393453,"R",1389,"R",520382,"A",,"A",,-2
485476,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",270155,"R",0,"R",0,"R",0,"R",0,"R",0,"R",270155,"R",0,"R",0,"R",0,"R",714957,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39478,"A",,"A",,"R",6625,"R",761060,"R",317019,"R",153296,"R",0,"R",0,"R",0,"R",0,"R",127213,"R",120269,"R",111333,"R",33804,"R",18310,"R",17792,"A",,"A",,"R",0,"A",,"A",,"R",73102,"R",1000,"R",646977,"R",326161,"R",25728,"R",78577,"R",7383,"R",1959,"R",207169,"A",,"A",,-2
485485,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",422712,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",422712,"R",0,"Z",0,"R",0,"R",894216,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",65117,"A",,"A",,"R",0,"R",959333,"R",434210,"R",224044,"Z",0,"Z",0,"Z",0,"Z",0,"R",16000,"R",8000,"R",14000,"R",7000,"R",182731,"R",82491,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",646941,"R",321535,"R",18726,"R",21295,"R",3840,"R",78546,"R",202999,"A",,"A",,-2
485494,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",350183,"R",0,"R",0,"R",0,"R",0,"R",0,"R",350183,"R",0,"R",0,"R",0,"R",1005888,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",54213,"A",,"A",,"R",0,"R",1060101,"R",551435,"R",325000,"R",2386,"R",0,"R",0,"R",0,"R",40102,"R",23000,"R",134235,"R",23000,"R",270024,"R",19654,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",998182,"R",390654,"R",6235,"R",77400,"R",10975,"R",0,"R",512918,"A",,"A",,-2
485500,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",92025,"Z",0,"R",42038,"R",42038,"Z",0,"Z",0,"R",134063,"Z",0,"Z",0,"Z",0,"R",925323,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",925323,"R",77290,"R",21682,"Z",0,"Z",0,"Z",0,"Z",0,"R",91736,"R",91736,"R",30875,"R",30875,"R",88825,"R",88825,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",288726,"R",233118,"R",0,"R",16885,"Z",0,"Z",0,"R",38723,"A",,"A",,-2
485519,"R",1042725,"R",0,"R",64752,"R",0,"R",454984,"R",0,"R",587741,"R",1042725,"R",0,"R",22005,"R",0,"R",0,"R",118373,"R",140378,"R",75626,"R",64752,"R",1967501,"R",1928989,"R",0,"R",38512,"R",0,"R",279568,"R",269661,"R",587741,"R",352884,"R",0,"R",0,"R",0,"R",0,"R",0,"R",352884,"R",0,"R",0,"R",0,"R",1614617,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",352884,"R",1967501,"R",520827,"R",259329,"R",0,"R",0,"R",115740,"R",57629,"R",231478,"R",115257,"R",385798,"R",192096,"R",443668,"R",220910,"R",231478,"R",115257,"R",0,"A",,"A",,"R",0,"R",0,"R",1928989,"R",960478,"R",162481,"R",788846,"R",17033,"R",151,"R",0,"R",0,"R",0, 3
485546,"R",1990729,"R",0,"R",12742,"R",80813,"R",1147879,"R",0,"R",842850,"R",1990729,"R",0,"R",0,"R",50619,"R",0,"R",0,"R",50619,"R",37877,"R",12742,"R",3625607,"R",4202097,"R",40,"R",-576450,"R",750000,"R",647129,"R",22171,"R",842850,"R",460398,"R",0,"R",0,"R",0,"R",0,"R",272544,"R",732942,"R",123730,"R",0,"R",123730,"R",3625607,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3625607,"R",558218,"R",358036,"R",0,"R",0,"R",0,"R",0,"R",300815,"R",189702,"R",1608897,"R",794917,"R",1734167,"R",718389,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4202097,"R",2061044,"R",154858,"R",132598,"R",52023,"R",0,"R",1801574,"R",0,"R",0, 3
485564,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",325256,"R",0,"R",0,"R",0,"R",0,"R",0,"R",325256,"R",0,"R",0,"R",0,"R",1030356,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",124369,"A",,"A",,"R",0,"R",1154725,"R",148474,"R",148474,"R",0,"R",0,"R",0,"R",0,"R",105658,"R",105658,"R",46142,"R",46142,"R",223829,"R",223829,"A",,"A",,"R",0,"A",,"A",,"R",678874,"R",154499,"R",1202977,"R",678602,"R",21101,"R",72288,"R",266,"R",0,"R",430720,"A",,"A",,-2
485573,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",547592,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",547592,"Z",0,"Z",0,"Z",0,"R",1139195,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",1139195,"R",243882,"R",116560,"Z",0,"Z",0,"Z",0,"Z",0,"R",48000,"R",48000,"R",48775,"R",48775,"R",261963,"R",20650,"A",,"A",,"Z",0,"A",,"A",,"R",63742,"R",0,"R",666362,"R",233985,"R",0,"R",58344,"R",5398,"Z",0,"R",368635,"A",,"A",,-2
